2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:35,047 - INFO - Player 2, Action 74, Total tokens 9, Next player 2
2025-04-15 21:08:35,049 - INFO - Player 3, Action 70, Total tokens 9, Next player 3
2025-04-15 21:08:35,051 - INFO - Player 0, Action 6, Total tokens 4, Next player 0
2025-04-15 21:08:35,052 - INFO - Player 1, Action 59, Total tokens 10, Next player 1
2025-04-15 21:08:35,055 - INFO - Player 2, Action 1, Total tokens 10, Next player 2
2025-04-15 21:08:35,057 - INFO - Player 3, Action 13, Total tokens 11, Next player 3
2025-04-15 21:08:35,059 - INFO - Player 0, Action 28, Total tokens 6, Next player 0
2025-04-15 21:08:35,062 - INFO - Player 1, Action 0, Total tokens 11, Next player 1
2025-04-15 21:08:35,064 - INFO - Player 2, Action 56, Total tokens 7, Next player 2
2025-04-15 21:08:35,065 - INFO - Player 3, Action 59, Total tokens 10, Next player 3
2025-04-15 21:08:35,067 - INFO - Player 0, Action 11, Total tokens 8, Next player 0
2025-04-15 21:08:35,070 - INFO - Player 1, Action 64, Total tokens 9, Next player 1
2025-04-15 21:08:35,072 - INFO - Player 2, Action 0, Total tokens 8, Next player 2
2025-04-15 21:08:35,074 - INFO - Player 3, Action 14, Total tokens 12, Next player 3
2025-04-15 21:08:35,077 - INFO - Player 0, Action 16, Total tokens 11, Next player 0
2025-04-15 21:08:35,079 - INFO - Player 1, Action 17, Total tokens 12, Next player 1
2025-04-15 21:08:35,081 - INFO - Player 2, Action 2, Total tokens 9, Next player 2
2025-04-15 21:08:35,083 - INFO - Player 3, Action 69, Total tokens 10, Next player 3
2025-04-15 21:08:35,085 - INFO - Player 0, Action 77, Total tokens 8, Next player 0
2025-04-15 21:08:35,086 - INFO - Player 1, Action 80, Total tokens 9, Next player 1
2025-04-15 21:08:35,088 - INFO - Player 2, Action 23, Total tokens 12, Next player 2
2025-04-15 21:08:35,092 - INFO - Player 3, Action 34, Total tokens 8, Next player 3
2025-04-15 21:08:35,094 - INFO - Player 0, Action 13, Total tokens 10, Next player 0
2025-04-15 21:08:35,096 - INFO - Player 1, Action 19, Total tokens 12, Next player 1
2025-04-15 21:08:35,098 - INFO - Player 2, Action 82, Total tokens 10, Next player 2
2025-04-15 21:08:35,100 - INFO - Player 3, Action 16, Total tokens 11, Next player 3
2025-04-15 21:08:35,101 - INFO - Player 0, Action 18, Total tokens 13, Next player 0
2025-04-15 21:08:35,103 - INFO - Player 1, Action 78, Total tokens 9, Next player 1
2025-04-15 21:08:35,106 - INFO - Player 2, Action 51, Total tokens 11, Next player 2
2025-04-15 21:08:35,107 - INFO - Player 3, Action 75, Total tokens 8, Next player 3
2025-04-15 21:08:35,108 - INFO - Player 3, Action 61, Total tokens 12, Next player 3
2025-04-15 21:08:35,110 - INFO - Player 0, Action 83, Total tokens 10, Next player 0
2025-04-15 21:08:35,112 - INFO - Player 1, Action 15, Total tokens 12, Next player 1
2025-04-15 21:08:35,113 - INFO - Player 2, Action 81, Total tokens 8, Next player 2
2025-04-15 21:08:35,115 - INFO - Player 3, Action 7, Total tokens 10, Next player 3
2025-04-15 21:08:35,117 - INFO - Player 0, Action 2, Total tokens 11, Next player 0
2025-04-15 21:08:35,119 - INFO - Player 1, Action 73, Total tokens 9, Next player 1
2025-04-15 21:08:35,121 - INFO - Player 2, Action 9, Total tokens 10, Next player 2
